score,l_pol,r_pol,valence,song,,,,,,,,l_pol_old,r_pol_old
1,330,337.5567227,0.782,body shop,,,,,,,,0,-2.289915966
1,354.2916667,313.4873512,0.446,volcano,,,,,,,,-7.361111111,5.003832973
2,266.2,308.1309524,0.556,dragging me down,,,,,,,,19.33333333,6.626984127
2,165,295.7319712,0.652,yesteryear,,,,,,,,50,10.38425117
2,289.8137188,347.8121093,0.71,situations,,,,,,,,12.17766096,-5.397608873
2,291.5,305.4117647,0.251,other plans,,,,,,,,11.66666667,7.450980392
2,272.7222222,299.9612403,0.269,black swan,,,,,,,,17.35690236,9.102654451
2,330,305.6281225,0.0687,ruthless gravity,,,,,,,,0,7.385417428
2,340.5722222,283.0614796,0.537,100 ships,,,,,,,,-3.203703704,14.22379406
2,381.15,283.3919706,0.688,bad poetry,,,,,,,,-15.5,14.12364527
2,280.3559524,308.1278711,0.786,amelia,,,,,,,,15.04365079,6.627917834
2,258.5516917,280.0524412,0.639,big heavy,,,,,,,,21.65100251,15.13562387
2,380.5607143,322.0192308,0.545,bomb the blocks,,,,,,,,-15.32142857,2.418414918
2,326.6821429,305.0886583,0.0745,ykk,,,,,,,,1.005411255,7.548891424
3,359.8504616,315.1275405,0.386,blue dahlia,,,,,,,,-9.045594428,4.506805909
3,239.7331731,306.4182432,0.706,shine all day,,,,,,,,27.35358392,7.145986896
3,561,324.325,0.491,i just wanna make you,,,,,,,,-70,1.71969697
3,285.0527778,313.5604031,0.413,smith hill,,,,,,,,13.62037037,4.981696019
3,292.875,290.2847331,0.111,no sound but the wind,,,,,,,,11.25,12.03492936
3,314.875,271.25,0.326,messages,,,,,,,,4.583333333,17.8030303
3,594,278.1673785,0.474,hysteria,,,,,,,,-80,15.706855
3,379.0833333,314.25,0.599,galaxy song,,,,,,,,-14.87373737,4.772727273
3,235.5,303.502551,0.555,seeing stars,,,,,,,,28.63636364,8.029529994
3,236.9010417,279.1490555,0.722,light love,,,,,,,,28.21180556,15.40937712
3,337.474359,341.4015819,0.179,college town,,,,,,,,-2.264957265,-3.455024808
3,302.328125,308.0917614,0.368,almost persuaded,,,,,,,,8.385416667,6.638860193
3,264.4230769,285.8486674,0.335,all the beautiful things,,,,,,,,19.87179487,13.3791917
3,330,307.0970865,0.0673,burns night,,,,,,,,0,6.940276828
3,237.5625,310.1304945,0.553,nyc beat,,,,,,,,28.01136364,6.021062271
3,342.0573192,297.1643241,0.754,fire in the canyon,,,,,,,,-3.653733098,9.950204813
3,279.1526228,332.4455645,0.441,middle management,,,,,,,,15.40829613,-0.741080156
3,401.2555556,323.368285,0.816,trump,,,,,,,,-21.59259259,2.009610615
4,362.5912162,284.2056397,0.422,the invitation,,,,,,,,-9.876126126,13.87707887
4,323.4,289.1214623,0.215,a life astray,,,,,,,,2,12.38743568
4,264,298.4390756,0.275,lonely as america,,,,,,,,20,9.563916476
4,330,298.28852,0.678,spitting image,,,,,,,,0,9.609539397
4,258.5,287.4375661,0.603,side of the road,,,,,,,,21.66666667,12.89770723
4,330,279.2565247,0.217,mountains of moscow,,,,,,,,0,15.37681069
4,333.6666667,313.5362723,0.473,careless,,,,,,,,-1.111111111,4.989008387
4,339.7807018,262.5628205,0.238,the rat,,,,,,,,-2.963849016,20.43550894
4,375.7875,263.7289952,0.498,shades of ruinous blue,,,,,,,,-13.875,20.08212268
4,276.0238095,261.245,0.503,so brand new,,,,,,,,16.35642136,20.83484848
4,193.8746459,299.387483,0.761,louie louie,,,,,,,,41.25010731,9.276520305
