score,type,adj,freq,rsubj,lsubj,speechiness,,,new,,og
2,lyrics,real,2,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,lyrics,,0,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,lyrics,,0,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,lyrics,,0,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,lyrics,,0,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,lyrics,,0,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,lyrics,,0,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,lyrics,,0,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,lyrics,,0,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,lyrics,,0,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,few,7,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,first,5,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,confessional,3,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,true,2,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,main,2,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,good,2,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,next,2,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,much,2,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,same,2,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
2,review,indie,2,836.9812129,513.6598983,0.275333333,,,0.275333333,,0.086233333
3,lyrics,bad,11,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,lyrics,ready,9,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,lyrics,good,7,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,lyrics,weak,7,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,lyrics,half-truth,6,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,lyrics,strange,5,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,lyrics,favorite,5,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,lyrics,new,5,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,lyrics,other,5,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,lyrics,strong,5,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,least,18,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,good,10,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,new,9,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,big,9,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,much,8,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,better,7,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,other,7,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,best,7,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,more,7,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
3,review,same,7,251.7177973,513.6598983,0.501066667,,,0.501066667,,0.074946667
4,lyrics,downtown,10,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,lyrics,diddy,10,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,lyrics,blue,7,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,lyrics,sad,7,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,lyrics,long,7,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,lyrics,hard,6,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,lyrics,sexy,6,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,lyrics,cold,5,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,lyrics,strange,5,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,lyrics,bad,4,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,least,19,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,more,16,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,first,15,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,last,13,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,same,12,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,real,12,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,new,12,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,few,12,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,much,11,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
4,review,,0,647.5716028,1047.319789,0.372344828,,,0.372344828,,0.081382759
5,lyrics,more,37,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,lyrics,good,37,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,lyrics,new,23,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,lyrics,wrong,20,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,lyrics,long,19,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,lyrics,many,19,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,lyrics,little,17,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,lyrics,hard,17,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,lyrics,same,14,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,lyrics,own,13,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,more,112,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,most,86,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,same,76,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,best,75,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,first,74,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,other,71,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,much,69,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,own,69,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,,0,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
5,review,,0,742.8870516,1064.264667,0.851693878,,,0.851693878,,0.057415306
6,lyrics,good,48,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,lyrics,more,41,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,lyrics,wrong,36,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,lyrics,old,30,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,lyrics,new,29,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,lyrics,alive,28,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,lyrics,little,24,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,lyrics,other,23,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,lyrics,,0,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,lyrics,,0,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,more,186,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,new,151,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,much,120,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,first,117,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,best,105,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,own,102,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,same,102,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,,0,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,,0,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
6,review,,0,714.2916241,980.966541,0.0655,,,0.0655,,0.096725
7,lyrics,good,56,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,lyrics,old,52,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,lyrics,hard,52,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,lyrics,new,50,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,lyrics,strong,48,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,lyrics,much,46,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,lyrics,alive,41,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,lyrics,same,38,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,lyrics,more,36,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,lyrics,last,34,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,more,267,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,first,216,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,new,211,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,own,204,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,most,190,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,other,181,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,much,169,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,,0,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,,0,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
7,review,,0,776.3910788,1159.854877,0.399226087,,,0.399226087,,0.080038696
8,lyrics,bad,25,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,lyrics,last,20,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,lyrics,hard,19,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,lyrics,beautiful,19,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,lyrics,right,16,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,lyrics,high,15,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
